"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
"Antonio Daniels","TEX",36,38,1456,4.19,49.58,0.09,2.65,-51.33,2,2.8
"Anwar Ferguson","SXF",29,9,85,-2.01,56.18,6.68,3.01,-50.97,5,4.4
"Arinze Onuaku","RGV",23,5,43,-2.14,50.22,0.72,4.05,-49.93,3.4,-12.5
"Armon Johnson","IDA",22,9,248,2.48,60.78,11.28,6.96,-47.02,2,3.9
"Aubrey Coleman","AUS",23,34,913,-0.1,44.39,-5.1,3.19,-50.79,3.1,-3.6
"Avery Bradley","MNE",20,9,290,1.7,49.49,0,4.64,-49.34,4.8,-10.7
"Bamba Fall","MNE",25,17,248,0.86,60.64,11.14,2.33,-51.65,6.2,-5.7
"Ben Uzoh","SPG",23,4,133,0.97,60.92,11.42,5.19,-48.79,4.9,10.6
"Bennet Davis","UTA",27,9,229,-4.54,40.88,-8.62,2.93,-51.05,2.7,0.2
"Blake Ahearn","ERI",27,31,1044,0.08,49.71,0.21,3.65,-50.33,1.7,0.7
"Bobby Simmons","RNO",31,10,358,2.21,58.82,9.33,5.11,-48.87,2.2,12.9
"Booker Woodfox","TEX",24,50,1031,-0.35,52.55,3.05,5.48,-48.5,1.5,-5.8
"Brad Byerson","SXF",26,5,49,-1.95,66.67,17.17,2.12,-51.86,5,-9
"Brandon Brooks","TUL",24,33,521,-2.14,48.23,-1.27,6.45,-47.54,2.4,1.7
"Brandon Costner","UTA",23,49,1313,-0.55,49.08,-0.42,3.05,-50.93,2,4.9
"Brandon Johnson","DAK",24,25,488,-4.91,37.17,-12.33,3.54,-50.44,2.5,-11.2
"Brandon Wallace","BAK",26,39,1017,3.56,55.48,5.98,5.79,-48.19,4.2,3.1
"Brendan Knox","DAK",24,5,65,-2.8,43.7,-5.8,5.11,-48.87,2.2,-10.4
"Brian Leggett","SPG",25,24,421,-5.9,39.84,-9.66,3.52,-50.46,2,-12.4
"Byron Mullens","TUL",22,14,388,0.05,53.16,3.66,4.53,-49.45,3.8,-5.1
"Carldell Johnson","AUS",28,46,1562,1.33,50.69,1.19,4.05,-49.93,2.4,-0.5
"Carlos English","FWN",26,39,530,-6.75,38.6,-10.89,3.35,-50.63,0.7,-8.5
"Carlos Medlock","UTA",24,2,12,-2.35,25,-24.5,25,-28.98,4.3,-69.6
"Carlos Wheeler","IDA",33,37,1008,0.84,52.41,2.91,2.87,-51.11,2.1,-0.5
"Cedric Jackson","IDA",25,50,1725,2.58,48.97,-0.53,2.65,-51.33,3.3,5.9
"Chamberlain Oguchi","MNE",25,32,835,-2.24,46.91,-2.58,4.41,-49.57,1.4,-7.9
"Charles Garcia","IWA",22,11,112,-2.67,45.77,-3.73,2.16,-51.82,1.8,-1.3
"Chas McFarland","SPG",24,26,586,-3.03,52.6,3.1,3.72,-50.26,3.2,0
"Chris Ayer","DAK",27,20,442,-1.9,48.53,-0.97,3.23,-50.75,3.6,-0.2
"Chris Davis","RNO",25,34,414,-2.73,43,-6.5,4.68,-49.3,2.1,2.5
"Chris Holm","DAK",26,3,57,-1.87,42.31,-7.19,2.62,-51.36,2.4,-19.7
"Chris Hunter","FWN",26,7,145,-0.87,50.64,1.15,2.82,-51.16,2,5.4
"Chris Johnson","DAK",25,35,1114,1.35,51.52,2.02,4.23,-49.75,5.5,-7.8
"Chris Kramer","FWN",23,42,1238,5.13,56.34,6.85,2.8,-51.18,3.9,-0.4
"Chris Lofton","IWA",25,34,1177,3.95,59.43,9.94,8.6,-45.38,3,4.4
"Chris McCray","SXF",27,38,1113,1.03,47.62,-1.88,3.44,-50.54,2.8,-4.9
"Chris Roberts","TEX",23,11,262,1.6,46.69,-2.8,4.16,-49.83,4.1,2.3
"Christian Eyenga","ERI",22,15,390,0.46,56.83,7.33,5.83,-48.15,3.6,7
"Chukwudiebere Maduabum","BAK",20,3,21,-2.32,25.26,-24.23,2.09,-51.9,7.1,7.1
"Cole Aldrich","TUL",22,21,615,1.52,54.62,5.12,4.13,-49.85,5.3,10.4
"Connor Atchley","RGV",26,45,866,-0.22,55,5.5,4.55,-49.43,4.8,9
"Corey Allmond","FWN",23,47,859,-0.76,49.48,-0.02,9.22,-44.76,1.1,0.5
"Cory Underwood","SXF",31,20,234,-6.74,43.95,-5.55,3.66,-50.32,1.2,-18.5
"Courtney Fortson","RNO",23,6,39,-2.3,43.53,-5.97,1.44,-52.54,1.2,-12.2
"Courtney Sims","IWA",27,42,1343,-1.04,55.9,6.4,3.02,-50.96,2.3,7.3
"Craig Brackins","SPG",23,18,675,-0.05,47.01,-2.49,4.9,-49.08,2.3,-9.9
"Craig Winder","MNE",27,11,282,-2.54,42.06,-7.44,3.09,-50.89,2.8,-0.7
"Curtis Stinson","IWA",28,48,2059,-1.08,50.58,1.09,4.31,-49.67,1.7,5.6
"Curtis Terry","TEX",25,1,37,-2.47,40.24,-9.25,1.79,-52.19,1.2,-9.9
"D'Andre Bell","BAK",24,41,643,-3.37,52.36,2.86,4.83,-49.15,2,4.4
"DJ Strawberry","RNO",26,20,587,-2.45,47.56,-1.94,2.57,-51.41,1.9,0
"Daniel Orton","NMX",20,2,42,-1.73,44.5,-5,5.12,-48.86,3.5,31.4
"Danny Green","AUS",24,17,630,1.66,53.08,3.58,4.89,-49.09,3.1,6.7
"Dar Tucker","NMX",23,50,1606,-0.34,49.76,0.26,3.41,-50.57,2.6,-3
"Darnell Lazare","FWN",26,50,1685,-2.88,47.15,-2.35,3.56,-50.42,2,-1
"Darren Cooper","DAK",27,44,1231,-1.81,42.65,-6.85,3.22,-50.76,1.9,-3.8
"Darrin Govens","RNO",23,2,5,-1.94,0,-49.5,0,-53.98,6.7,-46.7
"David Bailey","SXF",30,37,1120,-1.55,47.24,-2.26,3.73,-50.25,1.9,-10.8
"Dawan Robinson","ERI",29,18,399,-0.03,49.51,0.01,3.32,-50.66,2.2,3.3
"DeMarre Carroll","DAK",24,6,214,-4.84,41.63,-7.87,2.83,-51.15,2.3,-6
"DeSean Hadley","IDA",33,42,668,-5.79,31.05,-18.44,2.2,-51.78,1.8,-2.7
"DeShawn Sims","MNE",23,48,1657,1.28,53.9,4.4,5.17,-48.81,2.6,-4.7
"Derek Raivio","FWN",26,38,767,-0.78,50,0.5,12.67,-41.31,2.2,3.4
"Derrick Byars","BAK",27,30,997,-0.16,52.66,3.16,5.45,-48.53,1.8,4.4
"Derrick Caracter","BAK",23,3,59,-3.91,42.94,-6.55,1.6,-52.38,1.6,-15.5
"Devin Ebanks","BAK",21,6,166,-0.59,51.47,1.97,3.42,-50.56,3.6,-1.9
"Dexter Pittman","SXF",23,22,610,-0.9,53.61,4.11,3.02,-50.96,3.8,-4.1
"Dominique Archie","AUS",23,15,279,-5.14,43.01,-6.48,4.05,-49.93,2,-0.6
"Dominique Coleman","SXF",26,48,1451,0.48,49.28,-0.22,8,-45.98,3.3,-3.2
"Dominique Johnson","TEX",24,27,677,0.67,55.38,5.88,5.95,-48.03,1.7,0.7
"Dominique Jones","TEX",22,10,375,0.38,47.44,-2.05,2.88,-51.1,2.8,1.6
"Dominique Scales","SXF",28,25,298,-5.58,42.74,-6.76,4.48,-49.5,2.5,-12.9
"Donald Sloan","RNO",23,49,1357,-0.2,50.65,1.16,3.86,-50.12,1.4,5.4
"Dontell Jefferson","IDA",27,10,276,-1.4,38.99,-10.51,1.75,-52.23,2.4,-17
"Doug Thomas","RNO",27,46,558,-0.72,60.81,11.31,3.76,-50.23,3.6,-6.3
"Drew Naymick","BAK",26,48,1360,1.29,54.29,4.79,4.01,-49.97,5,3.5
